冬瓜は夏野菜ですが、「冬」という名前が付いてるのは何故でしょうか?,0,冬まで保存できるから,昔は冬に収穫できたから,栽培時期が冬だから,冬に花が咲くから,正解：冬まで保存できるから,冬瓜は水分が失われにくく冷暗所などでは2〜3ヶ月は保存できる言われています。
枝豆(200g)のゆで時間は,1,1〜2分,4〜5分,10分,15分,正解：4〜5分,両端を切り落として塩を加えてゆでると塩がよくしみます。
三浦で生産されている最も多い大根は？,1,三浦大根,青首大根,聖護院大根,練馬大根,正解：青首大根,三浦で生産されている大根の9割は青首大根であり、三浦大根は稀少となっています。
三浦大根の生産に大きな被害を与えた出来事は?,3,第二次世界大戦,関東大震災,鎌倉大地震,昭和54年台風第20号,正解：昭和54年台風第20号,観測史上世界で最も低い中心気圧を記録した台風によって大規模な塩害がもたらされました。
レディサラダは何の品種？,0,大根,人参,キャベツ,レタス,正解：大根,三浦大根とアメリカやドイツの大根を交配してできたサラダに適した品種です。
食のアメニティー活動コンテストも受賞した三浦野菜を使ったフルコースは?,1,キャベツフルコース,三浦大根フルコース,三浦人参フルコース,三崎スイカフルコース,正解：三浦大根フルコース,やまさ園の吉田和子さんが考案した前菜、ステーキ、スープまで三浦大根を使い尽くしたフルコース料理。
キャベツの保存方法に適しているのは?,2,風当たりのよい場所に置いておく,土に埋める,新聞紙で包む,塩漬けにする,正解：新聞紙で包む,キャベツは乾燥させないことが大事です。長く保存する場合は芯をくりぬき湿らせたペーパータオルを入れておきます。
三浦野菜生産販売連合が販売しているカボチャは?,3,しっかりカボチャ,ちゃんとしたカボチャ,正しいカボチャ,こだわりカボチャ,正解：こだわりカボチャ,専用の堆肥を使い、完熟させてから収穫するこだわり抜かれたカボチャ。
神奈川県で収穫量三浦市が1位、横須賀市が2位の野菜は？,0,カボチャ,ショウガ,アスパラガス,ニンニク,正解：カボチャ,三浦市と横須賀市で県全体の8割のカボチャを生産しています。
スイカの栽培方法で本当にあるのは?,1,いけす栽培,オッカブセ栽培,放置栽培,タンス栽培,正解：オッカブセ栽培,ビニールで作ったトンネルのなかで栽培し、気温が上がるとビニールの裾をめくって換気します。
本当にあるスイカの品種は?,2,テニスボールスイカ,バスケットボールスイカ,ラグビーボールスイカ,ゴルフボールスイカ,正解：ラグビーボールスイカ,中国の楕円形品種と大玉品種を交配し、最後に小玉スイカを交配して出来た品種。
三浦市が県内生産量の約90%を担っている野菜は?,3,トマト,レタス,キュウリ,冬瓜,正解：冬瓜,三浦での冬瓜の収穫は5月から始まり、他の地域よりも早く収穫できます。
間作とはどのような栽培方法でしょう?,0,畝間(うねま)で別の野菜を育てる,期間をおいて栽培する,間仕切りを作る,人間の手による栽培,正解：畝間で別の野菜を育てる,三浦では大根を植えた畝の間にキャベツを植えて畑を有効活用する栽培方法があります。
三浦大根の平均重量は？,3,500g,1kg,2kg,3kg,正解：3kg,青首大根が平均1〜1.5kgであり、三浦大根はその倍以上、重いものだと5kgになります。
三浦大根を煮たときの特徴は？,1,小さくなる,煮崩れしにくい,固くなる,湯で時間が他より短い,正解：煮崩れしにくい,煮ると柔らかいのに煮崩れしないため、おでんに最適です。
三浦新じゃがいもとはどのようなじゃがいも?,2,最近できたブランド,新米農家が作るじゃがいも,早出しじゃがいも,春に採れたじゃがいも,正解：早出しじゃがいも,秋に購入した種芋を翌年の3月に植え、6月に収穫する栽培期間を短縮した早出しじゃがいも。
割干し大根とはどのようなものでしょう？,2,割り箸を刺して干す,二股に割れた大根を干す,大根を縦に割いて干す,3割だけ干す,正解：大根を縦に割いて干す,1本の大根を根元を残して縦に6〜8等分に割って干す。切り干し大根より太い。
横須賀市の伝統料理は?,0,ひらひら団子,へらへら団子,ふりふり団子,ほろほろ団子,正解：ひらひら団子,あんころ餅に似た横須賀市佐島の郷土料理。
城ヶ島で受け継がれる野菜の種とは?,2,大根,たまねぎ,そら豆,枝豆,正解：そら豆,小ぶりの実は味がいいと評判。城ヶ島野菜として保存プロジェクトも始まっている。
じゃがいもは何科?,3,アブラナ科,セリ科,ヒルガオ科,ナス科,正解：ナス科,ナス科ナス属の植物。
タケノコの灰汁抜きに使用に適した水は,0,米のとぎ汁,塩水,雨水,風呂の残り湯,正解：米のとぎ汁,アルカリ性の水(コメのとぎ汁や重曹など)でアクを取り除くことができる。
路地栽培とはどのような栽培方法?,1,空いた土地を生かした栽培,戸外で自然の状態で栽培すること,道路脇を使った野菜栽培,無農薬栽培,正解：戸外で自然の状態で栽培すること,ハウスやトンネルなどを利用せずに、戸外で野菜や花などを自然の状態で栽培すること。
胃の疲れに効く野菜は?,2,タマネギ,わさび,キャベツ,にら,正解：キャベツ,キャベツは胃酸を抑え、粘膜の修復を助けるビタミンUが豊富。
消化を促進させる野菜は?,3,じゃがいも,菜の花,きゅうり,大根,正解：大根,大根はビタミンCと消化酵素アミラーゼが豊富。サラダや大根おろしなど生で食べるのが効果的。
むくみに効く野菜は?,0,冬瓜,タケノコ,じゃがいも,大根,正解：冬瓜,利尿作用があるカリウムを多く含んでおりむくみ解消に最適。ほとんど水分なのでダイエット食にも良い。
肌荒れに効く野菜は?,1,じゃがいも,春菊,ししとう,にら,正解：春菊,皮膚を守るカロテンやカルシウムを多く含み、肌荒れなどによい野菜です。
